municipio_id,ibi_urbana_rd_20_2011,year
4098,2012,0.55
4099,2012,0.6303
4100,2012,0.63
4101,2012,0.689
4102,2012,0.625
4103,2012,0.5
4901,2012,0.5
4902,2012,0.5607
4903,2012,0.63
5001,2012,0.66
5002,2012,0.583
5005,2012,0.55
5007,2012,0.704
5008,2012,0.5
5010,2012,0.742
5012,2012,0.5
5013,2012,0.4472
5014,2012,0.671
5015,2012,0.66
5016,2012,0.7205
5017,2012,0.66
5018,2012,0.935
5019,2012,0.572
5021,2012,0.77
5022,2012,0.5
5023,2012,0.605
5024,2012,0.42
5025,2012,0.5
5026,2012,0.825
5027,2012,0.53
5029,2012,0.5
5030,2012,0.55
5033,2012,0.5
5034,2012,0.5
5035,2012,0.52
5036,2012,0.5
5037,2012,0.4
5038,2012,0.5
5039,2012,0.5
5040,2012,0.5
5041,2012,0.56
5042,2012,0.71
5043,2012,0.5
5044,2012,0.5
5045,2012,0.71
5046,2012,0.55
5047,2012,0.5
5048,2012,0.5
5049,2012,0.5
5051,2012,0.5
5052,2012,0.66
5053,2012,0.66
5054,2012,0.5
5055,2012,0.77
5056,2012,0.5
5057,2012,0.825
5058,2012,0.5
5059,2012,0.52
5060,2012,0.68
5061,2012,0.57
5062,2012,0.715
5063,2012,0.5
5064,2012,0.71
5065,2012,0.715
5066,2012,0.5
5067,2012,0.5
5069,2012,0.71
5070,2012,0.55
5072,2012,0.6
5073,2012,0.55
5074,2012,0.68
5075,2012,0.6
5076,2012,0.45
5077,2012,0.627
5078,2012,0.55
5079,2012,0.5
5080,2012,0.5
5081,2012,0.5
5082,2012,0.528
5083,2012,0.5
5084,2012,0.5
5085,2012,0.572
5086,2012,0.55
5087,2012,0.52
5088,2012,0.5
5089,2012,0.416
5090,2012,0.5
5092,2012,0.616
5093,2012,0.5
5094,2012,0.5
5095,2012,0.55
5096,2012,1.045
5097,2012,0.5
5099,2012,0.66
5100,2012,0.5
5101,2012,0.5
5102,2012,0.5
5103,2012,0.5
5104,2012,0.6
5105,2012,0.4
5106,2012,0.687
5107,2012,0.5
5108,2012,0.5
5109,2012,0.55
5110,2012,0.5
5112,2012,0.416
5113,2012,0.572
5114,2012,0.88
5115,2012,0.66
5116,2012,0.5
5117,2012,0.676
5118,2012,0.66
5119,2012,0.5
5120,2012,0.66
5121,2012,0.55
5122,2012,0.935
5123,2012,0.5
5124,2012,0.4
5125,2012,0.5
5126,2012,0.5
5127,2012,0.4
5128,2012,0.636
5129,2012,0.66
5130,2012,0.5
5131,2012,0.66
5132,2012,0.583
5133,2012,0.89
5134,2012,0.66
5135,2012,0.6
5136,2012,0.5
5138,2012,0.77
5139,2012,0.5
5140,2012,0.55
5141,2012,0.5
5142,2012,0.66
5143,2012,0.5
5144,2012,0.55
5145,2012,0.5
5147,2012,0.5
5148,2012,0.88
5149,2012,0.55
5151,2012,0.616
5152,2012,0.62
5153,2012,0.55
5154,2012,0.5
5155,2012,0.5
5156,2012,0.77
5157,2012,0.67
5158,2012,0.63
5159,2012,0.55
5160,2012,0.5
5161,2012,0.66
5162,2012,0.55
5163,2012,0.6
5164,2012,0.52
5165,2012,0.5
5166,2012,0.5
5167,2012,0.56
5168,2012,0.627
5169,2012,0.66
5170,2012,0.55
5171,2012,0.4
5172,2012,0.5824
5173,2012,0.55
5174,2012,0.65
5175,2012,0.55
5176,2012,0.66
5177,2012,0.55
5178,2012,0.4
5179,2012,0.88
5180,2012,0.5
5181,2012,0.759
5182,2012,0.3
5183,2012,0.71
5184,2012,0.5
5185,2012,0.55
5186,2012,0.638
5187,2012,0.52
5188,2012,0.5
5189,2012,0.5
5190,2012,0.638
5191,2012,0.6
5192,2012,0.594
5193,2012,0.5
5194,2012,0.55
5195,2012,0.55
5196,2012,0.55
5197,2012,0.5
5198,2012,0.55
5199,2012,0.5
5200,2012,0.5
5201,2012,0.5
5204,2012,0.73
5205,2012,0.5
5206,2012,0.5
5207,2012,0.66
5208,2012,0.55
5209,2012,0.55
5210,2012,0.5
5211,2012,0.5
5212,2012,0.5
5213,2012,0.5
5214,2012,0.605
5215,2012,0.605
5216,2012,0.5
5217,2012,0.5
5218,2012,0.704
5219,2012,0.5
5220,2012,0.99
5221,2012,0.4
5222,2012,0.55
5224,2012,0.5
5225,2012,0.715
5226,2012,0.88
5227,2012,0.5
5228,2012,0.5
5229,2012,0.66
5230,2012,0.5
5231,2012,0.71
5232,2012,0.6
5233,2012,0.45
5234,2012,0.5
5235,2012,0.5
5236,2012,0.616
5237,2012,0.5
5238,2012,0.4576
5239,2012,0.5
5240,2012,0.5
5241,2012,0.71
5242,2012,0.56
5243,2012,0.77
5244,2012,0.583
5245,2012,0.77
5246,2012,0.5
5247,2012,0.5
5249,2012,0.605
5251,2012,0.5
5252,2012,0.55
5253,2012,0.5
5254,2012,0.5
5256,2012,0.66
5257,2012,0.66
5258,2012,0.728
5259,2012,0.66
5260,2012,0.605
5261,2012,0.715
5262,2012,0.55
5263,2012,0.5
5264,2012,0.5
5265,2012,0.5
5266,2012,0.77
5267,2012,0.605
5901,2012,0.65
5902,2012,0.55
5903,2012,0.88
5904,2012,0.7
5905,2012,0.935
6001,2012,0.55
6002,2012,0.605
6003,2012,0.75
6004,2012,0.7
6005,2012,0.95
6006,2012,0.825
6007,2012,0.67
6008,2012,0.52
6009,2012,0.65
6010,2012,0.82
6011,2012,0.65
6012,2012,0.748
6013,2012,0.707
6014,2012,0.99
6015,2012,0.913
6016,2012,0.87
6017,2012,0.65
6018,2012,0.51
6019,2012,0.58
6020,2012,0.59
6021,2012,0.884
6022,2012,0.676
6023,2012,0.814
6024,2012,0.77
6025,2012,0.752
